,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
41,Leningradskiy,RU,1616150552,69.3833,178.4167,-29.87,86,0,0.41
42,Arraial do Cabo,BR,1616150461,-22.9661,-42.0278,24.0,94,0,2.06
43,Sembakung,ID,1616150553,3.8167,117.25,25.3,93,97,1.54
44,Tautira,PF,1616150554,-17.7333,-149.15,27.0,78,75,2.57
45,Kruisfontein,ZA,1616150554,-34.0033,24.7314,22.22,70,42,2.24
46,Lata,PT,1616150555,40.1629,-8.3327,13.33,52,3,4.02
47,Severodvinsk,RU,1616150556,64.5635,39.8302,-5.0,42,0,3.0
48,Bamako,ML,1616150556,12.65,-8.0,33.0,22,66,1.54
49,Husavik,IS,1616150557,66.0449,-17.3389,11.0,58,75,9.77
50,Hofn,IS,1616150558,64.2539,-15.2082,7.0,93,90,6.17
51,Nishihara,JP,1616150558,26.1842,127.7558,23.0,83,40,2.57
52,Wangou,CN,1616150559,42.0623,126.9127,1.55,58,39,0.97
53,Cape Town,ZA,1616150560,-33.9258,18.4232,22.22,53,20,7.72
54,Bria,CF,1616150560,6.5423,21.9863,36.92,32,66,1.81
55,Avarua,CK,1616150561,-21.2078,-159.775,26.0,89,75,2.57
56,Mackay,AU,1616150562,-21.15,149.2,26.0,73,90,4.12
57,Nhulunbuy,AU,1616150563,-12.2333,136.7667,26.0,94,90,2.57
58,Coyhaique,CL,1616150563,-45.5752,-72.0662,5.7,97,57,3.36
59,Upernavik,GL,1616150564,72.7868,-56.1549,-16.72,79,92,1.72
60,Narasapuram,IN,1616150565,16.45,81.6667,29.92,46,100,4.98
61,Nikolskoye,RU,1616150565,59.7035,30.7861,-5.0,63,75,3.0
62,Jamestown,US,1616150566,42.097,-79.2353,-4.44,58,1,7.26
63,Qasigiannguit,GL,1616150567,68.8193,-51.1922,-8.0,53,100,9.77
64,Hasaki,JP,1616150353,35.7333,140.8333,12.0,66,75,3.09
65,Kumul,CN,1616150568,42.8,93.45,5.83,15,0,4.31
66,Thompson,CA,1616150569,55.7435,-97.8558,-3.0,74,1,1.03
67,Kabinda,CD,1616150569,-6.1333,24.4833,31.94,47,19,1.18
68,Hambantota,LK,1616150570,6.1241,81.1185,27.0,94,90,2.06
69,Tuktoyaktuk,CA,1616150571,69.4541,-133.0374,-27.26,100,99,4.26
70,Boueni,YT,1616150571,-12.9025,45.0761,31.0,66,75,2.57
71,La Ronge,CA,1616150572,55.1001,-105.2842,-2.0,80,20,0.51
72,Omboué,GA,1616150573,-1.5746,9.2618,28.43,69,92,1.4
73,Hamilton,US,1616150574,39.1834,-84.5333,1.11,60,20,11.32
74,Chui,UY,1616150575,-33.6971,-53.4616,15.15,73,3,1.72
75,Barrow,US,1616150576,71.2906,-156.7887,-19.0,71,90,1.54
76,Ambilobe,MG,1616150577,-13.2,49.05,30.67,66,92,1.29
77,Deputatsky,RU,1616150577,69.3,139.9,-27.75,98,100,2.02
78,Arkhara,RU,1616150578,49.4212,130.0842,-6.29,86,28,2.22
79,Yellowknife,CA,1616150517,62.456,-114.3525,-11.0,85,20,4.12
80,Nanortalik,GL,1616150579,60.1432,-45.2371,-3.24,74,49,3.06
81,Asău,RO,1616150580,46.4333,26.4,1.11,60,100,2.04
82,Buin,CL,1616150581,-33.7333,-70.75,13.33,82,90,3.09
83,Yangi Marg`ilon,UZ,1616150582,40.4272,71.7189,17.0,25,100,2.06
84,Ambon City,ID,1616150583,-3.6954,128.1814,29.0,74,20,2.57
85,Mahébourg,MU,1616150583,-20.4081,57.7,30.0,62,40,5.66
86,Kohlu,PK,1616150584,29.8962,69.252,27.08,15,17,5.24
87,Port Alfred,ZA,1616150585,-33.5906,26.891,22.64,67,98,6.85
88,Port Elizabeth,ZA,1616150586,-33.918,25.5701,23.0,68,20,8.23
89,New Norfolk,AU,1616150586,-42.7826,147.0587,16.11,62,0,0.45
90,Makokou,GA,1616150587,0.5738,12.8642,24.0,83,90,2.06
91,Ancud,CL,1616150588,-41.8697,-73.8203,7.78,93,63,2.27
92,Lorengau,PG,1616150588,-2.0226,147.2712,27.6,75,29,1.54
93,Yarmouth,US,1616150589,41.7057,-70.2286,1.0,60,90,12.86
94,Kaitangata,NZ,1616150590,-46.2817,169.8464,8.77,94,53,2.65
95,Hermanus,ZA,1616150590,-34.4187,19.2345,21.67,60,99,1.34
96,Bom Jesus,BR,1616150294,-9.0744,-44.3586,24.07,90,99,0.72
97,Lakselv,NO,1616150592,70.0513,24.9718,-6.0,73,75,14.4
98,Shulan,CN,1616150592,44.4167,126.95,0.99,66,93,3.72
99,Boyolangu,ID,1616150593,-8.1181,111.8935,26.07,85,99,2.92
100,Port Lincoln,AU,1616150594,-34.7333,135.8667,20.42,71,0,5.5
101,North Bend,US,1616150595,43.4065,-124.2243,8.0,87,90,4.63
102,Puerto Ayora,EC,1616150596,-0.7393,-90.3518,23.89,96,85,1.65
103,Mundo Novo,BR,1616150596,-11.8589,-40.4725,21.58,87,89,1.92
104,Farmington,US,1616150504,36.7281,-108.2187,3.0,52,1,2.57
105,Sørland,NO,1616150597,67.667,12.6934,3.0,93,75,11.83
106,Fonte Boa,BR,1616150599,-2.4959,-66.2662,22.11,96,97,0.88
107,Władysławowo,PL,1616150599,54.7909,18.4009,0.0,55,40,8.75
108,Chokurdakh,RU,1616150600,70.6333,147.9167,-30.64,76,18,3.71
109,Vangaindrano,MG,1616150601,-23.35,47.6,28.14,74,55,4.44
110,Coahuayana Viejo,MX,1616150601,18.7333,-103.6833,18.99,73,0,1.21
111,Sterling,US,1616150602,39.0062,-77.4286,4.0,70,90,8.23
112,Taoudenni,ML,1616150603,22.6783,-3.9836,32.55,7,0,5.83
113,Tikhvin,RU,1616150603,59.6451,33.5294,-4.94,80,58,2.72
114,Dunedin,NZ,1616150604,-45.8742,170.5036,13.33,71,63,0.45
115,Nerchinskiy Zavod,RU,1616150605,51.3088,119.61,-10.08,89,89,0.27
116,Roald,NO,1616150605,62.5833,6.1333,6.0,75,75,3.6
117,Disna,BY,1616150607,55.568,28.1971,1.96,59,65,0.41
118,Espinosa,BR,1616150608,-14.9261,-42.8192,22.61,76,61,2.96
119,Narsaq,GL,1616150608,60.9167,-46.05,-6.0,49,48,4.12
120,Diego de Almagro,CL,1616150609,-26.3667,-70.05,10.92,96,25,0.69
121,Longyearbyen,SJ,1616150610,78.2186,15.6401,-2.0,93,75,2.06
122,Torbay,CA,1616150611,47.6666,-52.7314,3.33,93,90,12.35
123,Agadez,NE,1616150611,19.75,10.25,36.86,8,5,3.6
124,Tiksi,RU,1616150612,71.6872,128.8694,-19.75,96,100,1.68
125,Faya,SA,1616150613,18.3851,42.4509,28.0,11,20,4.63
126,Verkhoyansk,RU,1616150345,67.5447,133.385,-10.5,76,100,6.45
127,Saint-Philippe,RE,1616150614,-21.3585,55.7679,28.0,74,20,12.86
128,Lashio,MM,1616150614,22.9333,97.75,31.9,15,34,1.39
129,Saskylakh,RU,1616150615,71.9167,114.0833,-32.0,94,98,4.32
130,Alcalá de Henares,ES,1616150616,40.4821,-3.36,10.56,57,40,10.29
131,Distrikt Brokopondo,SR,1616150617,4.75,-55.1667,22.42,86,68,1.57
132,Banda Aceh,ID,1616150617,5.5577,95.3222,28.52,72,43,4.2
133,Amapá,BR,1616150618,1.0,-52.0,22.38,86,93,1.42
134,Geraldton,AU,1616150619,-28.7667,114.6,30.0,28,1,5.66
135,Cascais,PT,1616150620,38.6979,-9.4215,14.44,35,0,7.2
136,Kokstad,ZA,1616150377,-30.5472,29.4241,26.59,36,0,2.97
137,Okha,RU,1616150621,53.5739,142.9478,-10.99,89,1,4.98
138,Khatanga,RU,1616150622,71.9667,102.5,-31.98,97,100,3.06
139,Mutatá,CO,1616150622,7.2441,-76.4356,22.1,94,96,0.41
140,Riyadh,SA,1616150225,24.6877,46.7219,30.0,23,0,2.06
141,Newport,GB,1616150623,51.5877,-2.9984,11.11,77,100,0.45
142,Ahipara,NZ,1616150624,-35.1667,173.1667,14.33,83,6,3.6
143,Sitka,US,1616150625,57.0531,-135.33,0.0,86,90,4.63
144,Seymchan,RU,1616150626,62.8833,152.4333,-29.27,92,40,1.58
145,Bredasdorp,ZA,1616150626,-34.5322,20.0403,22.0,46,100,3.6
146,Koulikoro,ML,1616150627,14.0,-7.75,35.04,7,19,4.86
147,Launceston,AU,1616150628,-41.45,147.1667,15.0,63,9,1.03
148,Ballina,AU,1616150628,-28.8667,153.5667,23.0,88,75,2.06
149,Djambala,CG,1616150629,-2.5447,14.7533,26.18,68,100,1.65
150,Bagan,RU,1616150630,54.1001,77.6646,-3.45,84,100,6.27
151,Nyagan,RU,1616150630,62.1406,65.3936,-1.81,93,100,2.07
152,Old Shinyanga,TZ,1616150631,-3.55,33.4,30.29,36,77,3.19
153,Maniwaki,CA,1616150632,46.3834,-75.966,-11.0,57,0,3.09
154,Minot,US,1616150632,48.2325,-101.2963,1.0,69,1,4.63
155,Zhangjiakou,CN,1616150633,40.81,114.8794,4.23,94,100,0.07
156,Talaya,RU,1616150634,61.3833,152.75,-28.92,100,98,1.77
157,Charyshskoye,RU,1616150635,51.3978,83.5598,-0.01,90,32,0.95
158,Tooele,US,1616150635,40.5308,-112.2983,10.0,53,1,4.63
159,Ust-Nera,RU,1616150636,64.5667,143.2,-24.25,95,16,2.33
160,General Roca,AR,1616150637,-39.0333,-67.5833,10.0,76,0,1.03
161,Mushie,CD,1616150637,-3.0167,16.9,31.58,53,96,2.15
162,Popova,RU,1616150638,42.9603,131.7228,2.0,51,89,2.0
163,Constitución,CL,1616150639,-35.3333,-72.4167,10.37,87,2,1.77
164,Bengkulu,ID,1616150528,-3.8004,102.2655,26.77,81,94,1.46
165,Bowen,AU,1616150640,-20.0167,148.2333,26.0,83,75,3.09
166,Sol'-Iletsk,RU,1616150641,51.1631,54.9918,1.53,100,100,6.62
167,Monrovia,LR,1616150602,6.3005,-10.7969,29.0,79,75,2.06
168,Chapais,CA,1616150642,49.7834,-74.8492,-21.0,84,1,1.54
169,Kiama,AU,1616150643,-34.6833,150.8667,20.56,85,100,1.34
170,Broken Hill,AU,1616150644,-31.95,141.4333,25.0,47,53,10.29
171,Beloha,MG,1616150644,-25.1667,45.05,34.74,35,7,4.42
172,Bekhteyevka,RU,1616150645,50.8072,37.2085,4.0,56,75,2.0
173,Shingū,JP,1616150647,33.7333,135.9833,14.0,72,40,1.03
174,Yulara,AU,1616150647,-25.2406,130.9889,27.0,24,100,4.12
175,Gandorhun,SL,1616150648,7.5,-11.8333,31.14,53,19,1.77
176,Sibolga,ID,1616150649,1.7427,98.7792,27.1,85,95,0.3
177,Pimenta Bueno,BR,1616150649,-11.6725,-61.1936,21.62,98,95,0.35
178,Castro,BR,1616150651,-24.7911,-50.0119,18.13,91,90,4.15
179,Svetlaya,RU,1616150651,46.5389,138.3297,-1.73,90,91,1.54
180,The Valley,AI,1616150652,18.217,-63.0578,25.0,69,40,7.2
181,Sri Aman,MY,1616150653,1.2376,111.4621,30.0,79,40,3.09
182,Atambua,ID,1616150653,-9.1061,124.8925,23.89,82,79,0.22
183,Bud,US,1616150654,39.447,-86.1758,-0.56,64,1,6.69
184,Freeport,US,1616150655,40.6576,-73.5832,1.11,47,90,10.29
185,Srīvardhan,IN,1616150655,18.0333,73.0167,30.93,41,63,8.13
186,Hervey Bay,AU,1616150576,-25.2986,152.8535,24.44,88,18,1.79
187,Fort Nelson,CA,1616150657,58.8053,-122.7002,-2.0,64,40,2.06
188,Yumen,CN,1616150658,40.2833,97.2,4.29,12,0,8.11
189,Novoagansk,RU,1616150659,61.9449,76.6625,-2.67,91,100,4.56
190,Alexandria,EG,1616150660,31.2156,29.9553,20.0,49,0,2.06
191,Opuwo,NA,1616150661,-18.0607,13.84,28.09,48,54,4.95
192,Imbituba,BR,1616150548,-28.24,-48.6703,22.0,83,40,2.57
193,Sal Rei,CV,1616150662,16.1833,-22.9167,22.0,73,75,6.17
194,Sola,VU,1616150663,-13.8833,167.55,27.79,77,61,5.05
195,Bubaque,GW,1616150663,11.2833,-15.8333,24.28,65,0,3.8
196,Bathsheba,BB,1616150664,13.2167,-59.5167,24.0,69,40,6.69
197,Emerald,AU,1616150665,-23.5333,148.1667,26.0,78,75,2.06
198,Lyubashivka,UA,1616150665,47.8372,30.2598,1.75,94,100,1.21
199,Andros Town,BS,1616150666,24.7,-77.7667,23.0,83,20,4.12
200,Lavrentiya,RU,1616150667,65.5833,-171.0,-27.08,93,31,1.17
201,Cidreira,BR,1616150668,-30.1811,-50.2056,22.08,74,47,2.75
202,Nantucket,US,1616150669,41.2835,-70.0995,0.0,100,90,10.8
203,Ketchikan,US,1616150669,55.3422,-131.6461,1.0,100,90,1.4
204,Makkah al Mukarramah,SA,1616150670,21.4267,39.8261,36.08,21,0,5.66
205,Flinders,AU,1616150671,-34.5833,150.8552,20.56,92,100,1.79
206,Dongsheng,CN,1616150672,39.8161,109.9776,0.04,74,100,9.96
207,Bethel,US,1616150564,41.3712,-73.414,-1.0,43,1,4.12
208,Sistranda,NO,1616150673,63.7256,8.834,4.0,81,75,5.14
209,Eyl,SO,1616150673,7.9803,49.8164,29.69,56,42,6.89
210,Kovernino,RU,1616150674,57.1253,43.8142,-0.75,88,95,2.9
211,Touros,BR,1616150675,-5.1989,-35.4608,25.0,88,40,1.54
212,Eyrarbakki,IS,1616150675,63.863,-21.1481,8.0,87,90,8.75
213,Porto Santo,PT,1616150676,33.072,-16.3415,16.0,59,75,7.2
214,Ponta do Sol,PT,1616150677,32.6667,-17.1,17.0,59,20,8.23
215,Matadi,CD,1616150678,-5.8167,13.45,32.96,60,98,0.13
216,Subang,ID,1616150661,-7.1277,108.5283,23.98,94,100,1.11
217,Nurlat,RU,1616150591,54.4277,50.8051,-0.96,93,100,6.35
218,Saint-François,FR,1616150680,46.4154,3.9054,5.0,81,90,2.57
219,San Carlos,VE,1616150680,9.6612,-68.5827,22.88,73,99,1.09
220,Abu Samrah,SY,1616150681,35.3029,37.1841,17.08,39,2,6.07
221,Kamaishi,JP,1616150682,39.2667,141.8833,5.0,56,75,0.51
222,Ossora,RU,1616150682,59.2353,163.0719,-9.21,95,100,2.03
223,Mizhou,CN,1616150402,35.9947,119.3975,9.1,44,69,3.93
224,Codrington,AU,1616150684,-38.2667,141.9667,17.98,78,0,4.89
225,Pyaozerskiy,RU,1616150684,65.8333,31.1667,-6.61,76,2,1.2
226,Anadyr,RU,1616150685,64.75,177.4833,-26.67,69,0,2.0
227,Berlevåg,NO,1616150686,70.8578,29.0864,-7.0,86,100,19.03
228,Port Hardy,CA,1616150533,50.6996,-127.4199,8.0,93,90,5.66
229,Iralaya,HN,1616150687,15.0,-83.2333,24.92,79,91,4.42
230,Katastari,GR,1616150688,37.8333,20.7667,15.0,72,40,2.57
231,Cayenne,GF,1616150394,4.9333,-52.3333,26.11,94,75,3.07
232,East London,ZA,1616150689,-33.0153,27.9116,23.0,64,20,8.75
233,Provideniya,RU,1616150689,64.3833,-173.3,-23.14,93,0,4.08
234,Muravlenko,RU,1616150568,63.7898,74.523,-2.7,88,100,3.59
235,Pisco,PE,1616150691,-13.7,-76.2167,20.0,77,100,1.03
236,San Cristobal,VE,1616150692,7.7669,-72.225,18.06,92,79,0.56
237,Naze,JP,1616150692,28.3667,129.4833,21.0,88,40,1.54
238,Kavieng,PG,1616150693,-2.5744,150.7967,28.35,75,40,4.22
239,Shōbara,JP,1616150694,34.85,133.0167,12.22,54,0,1.54
240,Hauge i Dalane,NO,1616150696,58.3436,6.2812,7.22,74,2,4.61
241,Héricourt,FR,1616150696,47.5731,6.7614,5.0,70,75,4.63
242,Ribeira Brava,PT,1616150697,32.65,-17.0667,17.0,59,20,8.23
243,Santiago,CL,1616150698,-33.4569,-70.6483,13.33,82,90,3.09
244,Arrondissement du Havre,FR,1616150698,49.5833,0.3333,7.0,65,20,9.26
245,Takaka,NZ,1616150699,-40.85,172.8,12.22,74,1,0.45
246,Berbera,SO,1616150700,10.4396,45.0143,28.37,68,100,5.02
247,Neiafu,TO,1616150700,-18.65,-173.9833,27.65,79,72,4.68
248,Buritama,BR,1616150701,-21.0661,-50.1472,21.72,87,36,3.13
249,Richards Bay,ZA,1616150678,-28.783,32.0377,30.05,59,0,3.49
250,Shimoda,JP,1616150703,34.6667,138.95,10.56,87,51,0.45
251,Mjölby,SE,1616150704,58.326,15.1237,1.0,51,20,6.17
252,Palmer,US,1616150705,42.1584,-72.3287,-1.0,31,75,9.26
253,Bumba,CD,1616150704,2.1833,22.4667,35.0,37,15,0.37
254,Stillwater,US,1616150706,36.1156,-97.0584,4.0,87,1,2.06
255,Belyy Yar,RU,1616150707,53.6039,91.3903,-1.0,40,0,2.0
256,Shelburne,CA,1616150707,44.0787,-80.2041,-5.56,61,0,5.26
257,Sohag,EG,1616150708,26.557,31.6948,24.0,23,0,5.66
258,Tuatapere,NZ,1616150709,-46.1333,167.6833,12.22,93,76,1.79
259,Paracatu,BR,1616150709,-17.2222,-46.8747,21.33,83,98,1.46
260,Plattsburgh,US,1616150711,44.6995,-73.4529,-8.0,49,1,6.17
261,Alamosa,US,1616150711,37.4695,-105.87,-3.0,74,90,0.93
262,Mangaratiba,BR,1616150586,-22.9597,-44.0406,25.0,83,75,2.06
263,Itarema,BR,1616150713,-2.9248,-39.9167,26.25,85,28,4.07
264,Al Bardīyah,LY,1616150714,31.7561,25.0865,19.94,40,10,3.83
265,Whitehorse,CA,1616150714,60.7161,-135.0538,-12.0,72,75,4.12
266,Isangel,VU,1616150715,-19.55,169.2667,25.01,80,100,5.91
267,Chetwayi,IN,1616150716,10.5333,76.05,33.0,55,20,5.14
268,Ostrovnoy,RU,1616150716,68.0531,39.5131,-10.98,81,5,3.17
269,São João da Barra,BR,1616150589,-21.6403,-41.0511,24.0,88,0,2.06
270,Lagoa,PT,1616150718,39.05,-27.9833,15.03,79,82,7.03
271,Parakou,BJ,1616150718,9.3372,2.6303,35.57,37,47,1.61
272,Shizunai-furukawachō,JP,1616150719,42.3339,142.3669,1.14,77,66,6.96
273,Kavaratti,IN,1616150720,10.5669,72.642,29.04,67,84,3.66
274,Tilichiki,RU,1616150720,60.4667,166.1,-17.72,95,100,4.27
275,Koumac,NC,1616150721,-20.5667,164.2833,25.52,81,100,2.59
276,Tabas,IR,1616150722,33.5959,56.9244,31.34,10,15,9.26
277,Taltal,CL,1616150722,-25.4,-70.4833,17.92,85,95,0.75
278,Chicama,PE,1616150723,-7.8447,-79.1469,21.78,75,100,1.58
279,Maceió,BR,1616150724,-9.6658,-35.7353,25.0,88,40,1.54
280,Haines Junction,CA,1616150656,60.7522,-137.5108,-11.0,67,100,7.2
281,Lebu,CL,1616150725,-37.6167,-73.65,10.96,89,0,1.72
282,Djibouti,DJ,1616150726,11.5,42.5,30.11,35,63,6.17
283,Alta Floresta,BR,1616150726,-9.8756,-56.0861,20.79,99,100,1.87
284,Necochea,AR,1616150727,-38.5473,-58.7368,8.89,90,0,2.24
285,Mlowo,TZ,1616150728,-9.0,32.9833,25.34,57,47,1.95
286,Pemangkat,ID,1616150728,1.1667,108.9667,26.84,81,97,2.55
287,Souillac,MU,1616150729,-20.5167,57.5167,30.0,62,40,5.66
288,Manta,EC,1616150730,-0.95,-80.7333,23.91,89,100,1.68
289,Kota Bharu,MY,1616150732,6.1333,102.2386,30.0,66,20,4.63
290,Lüderitz,NA,1616150733,-26.6481,15.1594,22.42,55,44,9.16
291,Road Town,VG,1616150465,18.4167,-64.6167,24.44,80,4,6.26
292,Ürümqi,CN,1616150603,43.801,87.6005,2.0,60,17,3.0
293,Tateyama,JP,1616150734,34.9833,139.8667,13.89,49,42,1.34
294,Egvekinot,RU,1616150735,66.3167,-179.1667,-26.04,68,4,2.56
295,Guérande,FR,1616150736,47.3291,-2.4283,12.22,58,20,8.75
296,Minna,NG,1616150736,9.6139,6.5569,32.0,48,0,3.6
297,Coquimbo,CL,1616150603,-29.9533,-71.3436,13.0,76,20,2.06
298,Bolbec,FR,1616150738,49.5732,0.4734,7.0,65,20,9.26
299,Bjerringbro,DK,1616150738,56.378,9.6607,4.0,60,75,6.17
300,Champerico,GT,1616150739,14.3,-91.9167,17.78,95,1,0.89
301,Severo-Kuril'sk,RU,1616150740,50.6789,156.125,-1.44,93,98,5.83
302,Iqaluit,CA,1616150740,63.7506,-68.5145,-30.0,69,20,7.2
303,Vila Velha,BR,1616150462,-20.3297,-40.2925,26.11,88,20,0.51
304,Santa Rosa,PH,1616150742,14.3122,121.1114,31.0,62,75,3.09
305,Kalininsk,RU,1616150742,51.5,44.4758,-1.26,91,100,4.89
306,Santiago de Cao,PE,1616150743,-7.9589,-79.2392,21.75,81,100,3.71
307,Ikongo,MG,1616150702,-21.8833,47.4333,27.24,77,86,1.91
308,Kitui,KE,1616150744,-1.367,38.0106,29.02,40,95,4.14
309,Te Anau,NZ,1616150745,-45.4167,167.7167,7.77,95,7,1.28
310,Palmerston,AU,1616150746,-12.486,130.9833,28.0,78,75,1.54
311,Ushtobe,KZ,1616150747,45.2514,77.9838,4.3,66,0,5.9
312,Cravo Norte,CO,1616150747,6.3017,-70.2041,25.49,71,90,2.54
313,Kieta,PG,1616150748,-6.2167,155.6333,26.97,78,92,1.41
314,Wajir,KE,1616150749,1.7471,40.0573,35.0,36,40,2.57
315,Walvis Bay,NA,1616150750,-22.9575,14.5053,20.0,80,23,2.24
316,Sibu,MY,1616150750,2.3,111.8167,31.0,58,20,3.09
317,Corrales,US,1616150734,35.2378,-106.6067,6.67,46,21,2.24
318,Meadow Lake,US,1616150706,34.8014,-106.5436,6.11,45,1,3.09
319,Atar,MR,1616150752,20.5169,-13.0499,29.43,12,0,6.28
320,Brigantine,US,1616150753,39.4101,-74.3646,2.22,80,90,7.2
321,Esperance,AU,1616150753,-33.8667,121.9,24.0,53,0,6.17
322,Dingle,PH,1616150754,10.9995,122.6711,26.73,77,48,2.93
323,Chaohu,CN,1616150755,31.6,117.8667,8.89,100,90,3.0
324,Nevers,FR,1616150755,46.9896,3.159,5.0,81,90,7.72
325,Barentu,ER,1616150756,15.1139,37.5928,36.68,10,13,1.58
326,Salalah,OM,1616150757,17.0151,54.0924,31.0,35,0,5.66
327,Visalia,US,1616150627,36.3302,-119.2921,14.44,88,75,0.55
328,Saint-Pierre,RE,1616150758,-21.3393,55.4781,28.33,74,20,12.86
329,Saint Paul Harbor,US,1616150759,57.79,-152.4072,-6.0,42,1,6.17
330,Avera,US,1616150759,33.194,-82.5271,9.0,71,1,4.63
331,Kakonko,TZ,1616150760,-3.2828,30.9642,27.78,54,45,2.07
332,Sirte,LY,1616150761,31.2089,16.5887,22.62,42,65,3.19
333,Vostok,RU,1616150762,46.4856,135.8833,-7.65,96,87,0.78
334,Los Llanos de Aridane,ES,1616150763,28.6585,-17.9182,20.0,68,20,6.17
335,Ardakān,IR,1616150763,32.31,54.0175,30.0,9,20,7.2
336,Guiren,CN,1616150764,33.6697,118.1889,7.07,79,100,2.16
337,Bermejo,AR,1616150765,-32.8833,-68.8,12.0,94,75,1.03
338,Pacific Grove,US,1616150766,36.6177,-121.9166,13.0,94,90,2.06
339,Broome,US,1616150766,42.2506,-75.833,-4.44,53,1,9.26
340,Camaná,PE,1616150767,-16.6228,-72.7111,20.61,86,98,1.07
341,Rujewa,TZ,1616150768,-8.7,34.3833,29.34,49,11,1.7
342,Pevek,RU,1616150768,69.7008,170.3133,-29.26,87,64,0.68
343,Pālang,BD,1616150769,23.2167,90.35,32.0,43,40,4.12
344,Agua Dulce,MX,1616150770,18.1333,-94.1333,22.25,75,95,7.57
345,Salta,AR,1616150771,-24.7859,-65.4117,15.0,94,90,1.03
346,Kibala,TD,1616150771,9.1104,18.3463,36.0,34,0,4.12
347,Katsuura,JP,1616150772,35.1333,140.3,13.33,70,64,0.89
348,Panabá,MX,1616150773,21.2833,-88.2667,21.76,93,22,4.29
349,Kuteynykove,UA,1616150773,47.8123,38.2882,4.97,70,100,2.88
350,Voi,KE,1616150774,-3.3945,38.563,32.49,39,91,3.36
351,Noumea,NC,1616150775,-22.2763,166.4572,24.0,73,0,1.54
352,Fortuna,US,1616150617,40.5982,-124.1573,6.67,100,1,3.09
353,Puerto Ayacucho,VE,1616150776,5.6639,-67.6236,23.04,77,92,2.25
354,Saint Paul,US,1616150777,44.9444,-93.0933,0.0,74,1,2.43
355,Diamantino,BR,1616150778,-14.4086,-56.4461,21.71,97,100,1.95
